revenue,net profit,operating profit,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
573113000,61451000,61451000,,555089000,,,339656000,14715000,,316734000,435614000,85125000,54154000,28606000,421699000,917893000,3326246000,10191000,2179000,1726000,4975650000,7309000,39325000,5893543000,516660000,2560486000,8069699033,99868000,8069699033,81714000,-62592000,11897000,,,339656000,11779000,172000,,-6524000,256300000,,,198477000,103954000,24716000,201303,AESGENER
0,0,0,2.0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,0,0.0,2.0,2.0,0.0,0.0,0,201303,AESGENER
1,1,1,0.0,1,0.0,0.0,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,0.0,1,1,0.0,0.0,1,1,1,201303,AESGENER
108283875000,39076312000,39076312000,1712902000,128526788000,265109000,,29631257000,9163858000,,71013446000,,48525149000,15987669000,7245846000,60417568000,153463277000,852672581000,,1269747000,326373000,1422537894000,36233012000,225245093000,1576001171000,157211469000,659959631000,6118965160,4190937000,6118965160,61783165000,-32587786000,-4422248000,,,29631257000,12778884000,8000000,,,84726803000,373424000,,3129834000,,9492724000,201303,AGUAS
0,0,0,0,0,0,2.0,0,0,2.0,0.0,2.0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0,201303,AGUAS
0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,201303,AGUAS
139630000,9545000,9545000,696000,199677000,,,182598000,505000,,100994000,113107000,12296000,2845000,1642000,40786000,181791000,284044000,19353000,8335000,169000,272394000,436000,36401000,454185000,174550000,159523000,855096691,6209000,855096691,3849000,-4473000,6766000,,,182598000,13558000,77000,9000,-80000,80611000,,,27127000,394000,20085000,201303,AGUNSA
0,0,0,0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,201303,AGUNSA
1,1,1,1,1,0.0,0.0,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,1,1,1,201303,AGUNSA
375197502000,36644530000,36644530000,-2990557000,440533370000,,,284610565000,21449566000,,338704414000,,45128221000,70288789000,,50447714000,415687714000,911019564000,701754000,18842641000,,1496829625000,91159946000,228560994000,1912517339000,420366614000,621654380000,13539622032,72889142000,13539622032,79161516000,-75219889000,-9351945000,,,284610565000,40747517000,24723000,1961469000,-4023000,250711186000,,,2926687000,5430862000,37150986000,201303,ALMENDRAL
