revenue,net profit,operating profit,interest revenue,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment for employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
555621000,40025000,40025000,2962000,267233000,853954000,5065145000,9334000,24143000,3476000,6521453000,7309000,53238000,7407688000,584708000,2247908000,8400318891,122853000,8798739130,97990000,-115995000,14497000,,,392729000,22891000,,,2543000,280100000,,,84283000,,21844000,201603,AESGENER
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,2.0,2.0,0,0.0,2.0,2.0,0.0,2.0,0,201603,AESGENER
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,0.0,1,201603,AESGENER
139065860000.0,49673688000.0,49673688000.0,1913299000.0,62724696000.0,225535138000.0,1042283195000.0,45446306000.0,1279922000.0,1656876000.0,1538012212000.0,36233012000.0,230278321000.0,1763547350000.0,174120194000.0,665489664000.0,6118965160.0,3457130000.0,6118965160.0,66297871000.0,-33406082000.0,-3120622000.0,,,44816412000.0,16223314000.0,97766000.0,42278972000.0,,100716222000.0,1392297000.0,,3006442000.0,,12466122000.0,201603,AGUAS-A
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,201603,AGUAS-A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,AGUAS-A
139065860000.0,49673688000.0,49673688000.0,1913299000.0,62724696000.0,225535138000.0,1042283195000.0,45446306000.0,1279922000.0,1656876000.0,1538012212000.0,36233012000.0,230278321000.0,1763547350000.0,174120194000.0,665489664000.0,6118965160.0,3457130000.0,6118965160.0,66297871000.0,-33406082000.0,-3120622000.0,,,44816412000.0,16223314000.0,97766000.0,42278972000.0,,100716222000.0,1392297000.0,,3006442000.0,,12466122000.0,201603,AGUAS
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,201603,AGUAS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,AGUAS
74545000.0,4963000.0,4963000.0,1295000.0,20573000.0,153475000.0,299232000.0,42068000.0,10853000.0,139000.0,344145000.0,243000.0,86763000.0,497620000.0,149920000.0,173111000.0,855096691.0,5274000.0,855096691.0,4742000.0,-5559000.0,2138000.0,,,136926000.0,10058000.0,789000.0,1639000.0,39000.0,57804000.0,,,15945000.0,3873000.0,16762000.0,201603,AGUNSA
