revenue,net profit,operating profit,non-controlling profit,eps,operating-eps,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
434190408800.0,46555277600.0,46555277600.0,-109852000.0,,,,420535426400.0,,,257323385600.0,11148084000.0,,239957678400.0,330021166400.0,64490700000.0,41027070400.0,21671905600.0,319479162400.0,695395736800.0,2519963969600.0,7720701600.0,1650810400.0,1307617600.0,3769552440000.0,5537298400.0,29792620000.0,4464948176800.0,391421616000.0,1939824193600.0,8069699033.0,75659996800.0,8069699033.0,61906526400.0,-47419699200.0,9013167200.0,,,257323385600.0,8923770400.0,130307200.0,,-4942582400.0,194172880000.0,,,150366175200.0,78755550400.0,18724841600.0,201303,AESGENER
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,AESGENER
108283875000.0,39076312000.0,39076312000.0,871092000.0,6.24,6.24,1712902000.0,128526788000.0,265109000.0,,29631257000.0,9163858000.0,,71013446000.0,,48525149000.0,15987669000.0,7245846000.0,60417568000.0,153463277000.0,852672581000.0,,1269747000.0,326373000.0,1422537894000.0,36233012000.0,225245093000.0,1576001171000.0,157211469000.0,659959631000.0,6118965160.0,4190937000.0,6118965160.0,61783165000.0,-32587786000.0,-4422248000.0,,,29631257000.0,12778884000.0,8000000.0,,,84726803000.0,373424000.0,,3129834000.0,,9492724000.0,201303,AGUAS
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,201303,AGUAS
105783688000.0,7231292000.0,7231292000.0,223492000.0,0.0112,0.0112,527289600.0,151275295200.0,,,138336244800.0,382588000.0,,76513054400.0,85689863200.0,9315449600.0,2155372000.0,1243979200.0,30899473600.0,137724861600.0,215191734400.0,14661832800.0,6314596000.0,128034400.0,206365694400.0,330313600.0,27577397600.0,344090556000.0,132239080000.0,120854624800.0,855096691.0,4703938400.0,855096691.0,2916002400.0,-3388744800.0,5125921600.0,,,138336244800.0,10271540800.0,58335200.0,6818400.0,-60608000.0,61070893600.0,,,20551415200.0,298494400.0,15216396000.0,201303,AGUNSA
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,AGUNSA
375197502000.0,36644530000.0,36644530000.0,16842661000.0,1.46,1.46,-2990557000.0,440533370000.0,,,284610565000.0,21449566000.0,,338704414000.0,,45128221000.0,70288789000.0,,50447714000.0,415687714000.0,911019564000.0,701754000.0,18842641000.0,,1496829625000.0,91159946000.0,228560994000.0,1912517339000.0,420366614000.0,621654380000.0,13539622032.0,72889142000.0,13539622032.0,79161516000.0,-75219889000.0,-9351945000.0,,,284610565000.0,40747517000.0,24723000.0,1961469000.0,-4023000.0,250711186000.0,,,2926687000.0,5430862000.0,37150986000.0,201303,ALMENDRAL
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,ALMENDRAL
26388111000.0,1414781000.0,1414781000.0,97345000.0,0.06,0.06,117589000.0,36404009000.0,1539000.0,,30115644000.0,397034000.0,,11689671000.0,15986549000.0,1883581000.0,382514000.0,748543000.0,9242057000.0,99594987000.0,57423038000.0,121232000.0,2713585000.0,,34950971000.0,1873096000.0,712055000.0,134545958000.0,45032877000.0,75763977000.0,22000000.0,33096356000.0,22000000.0,1756284000.0,-821282000.0,264650000.0,,,30115644000.0,4024079000.0,,,462741000.0,31676897000.0,,,2176241000.0,150378000.0,4134309000.0,201303,ANASAC
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,ANASAC
