Ticker,Name
AESGENER,AES Gener S.A.
AFPCAPITAL,Administradora de Fondos de Pensiones Capital S.A.
AGUAS,Aguas Andinas S.A.
AGUNSA,Agencias Universales S.A.
ALMENDRAL,Almendral S.A.
ANASAC,Agricola Nacional S.A.C. e I.
ANDACOR,Andacor S.A.
ANDINA,Embotelladora Andina S.A.
ANTARCHILE,AntarChile S.A.
AQUACHILE,Empresas Aquachile S.A.
ATHENA,Athena Foods S.A.
ATSA,Automovilismo y Turismo S.A.
AUSTRALIS,Australis Seafoods S.A.
AXXION,Axxion S.A.
AZUL AZUL,Azul Azul S.A.
BANVIDA,Banvida S.A.
BCI,Banco de Credito Inversiones
BESALCO,Besalco S.A.
BETLAN DOS,Betlan Dos S.A.
BICECORP,Bicecorp S.A.
BINT,Banco Internacional
BLUMAR,Blumar S.A.
BOLSASTGO,"Bolsa de Comercio de Santiago, Bolsa de Valores"
BSANTANDER,Banco Santander-Chile
CALICHERA,Sociedad de Inversiones Pampa Calichera S.A.
CAMANCHACA,Compania Pesquera Camanchaca S.A.
CAMPOS,Sociedad de Inversiones Campos Chilenos S.A.
CANALISTAS,Sociedad de Canalistas La Foresta de Apoquindo S.A.
CAP,Cap S.A.
CAROZZI,Carozzi S.A.
CASABLANCA,Energia de Casablanca S.A.
CCU,Compania Cervecerias Unidas S.A.
CEM,Cem S.A.
CEMENTOS,Cementos Bio Bio S.A.
CENCOSHOPP,Cencosud Shopping S.A.
CENCOSUD,Cencosud S.A.
CGE,Compania General de Electricidad S.A.
CGEGAS,CGE Gas Natural S.A.
CHILE,Banco de Chile
CIC,Companias CIC S.A.
CINTAC,Cintac S.A.
CLUBUNION,Union Inmobiliaria S.A.
CMPC,Empresas CMPC S.A.
COLBUN,Colbun S.A.
COLCRAIG,Colegio Craighouse S.A.
COLINSE,Colegio Ingles Catolico de La Serena S.A.
COLO COLO,Blanco y Negro S.A.
COLOSO,"Sociedad Pesquera Coloso S.A., en liquidacion"
CONCHATORO,Vina Concha y Toro S.A.
CONSOGRAL,Chilena Consolidada Seguros Generales S.A.
COPEC,Empresas Copec S.A.
COPEVAL,Compania Agropecuaria Copeval S.A.
COUNTRY,Prince of Wales Country Club S.A. Inmobiliaria
COVADONGA,Inversiones Covadonga S.A.
CRAIGHOUSE,Inmobiliaria Craighouse S.A.
CRISTALES,Cristalerias de Chile S.A.
CRUZADOS,Cruzados S.A.D.P.
CTC,Telefonica Chile S.A.
CUPRUM,Administradora de Fondos de Pensiones Cuprum S.A.
CVA,Costa Verde Aeronautica S.A.
DEHESA,Inmobiliaria de Deportes La Dehesa S.A.
DUNCANFOX,Duncan Fox S.A.
ECL,Engie Energia Chile S.A.
EDELMAG,Empresa Electrica de Magallanes S.A.
EDELPA,Envases del Pacifico S.A.
EISA,"Echeverria, Izquierdo S.A."
ELECMETAL,Compania Electro Metalurgica S.A.
