Name,Sector,Ticker,Tick
A.F.P. Cuprum S.A. ,Investment Advisors,CUPRUM,76240079-0
A.F.P. Habitat S.A. ,Investment Advisors,HABITAT,98000100-8
Abbott Laboratories ,Pharmaceuticals,ABT,ERROR HIGH CHECK MANUALLY91144000-8
AES Gener S.A. ,Electric Utilities,AESGENER,94272000-9
Aguas Andinas S.A. Series A ,Water Utilities,AGUAS-A,61808000-5
Almendral S.A. ,Wired Telecommunications Services,ALMENDRAL,94270000-8
Amazon.com Inc. ,Mixed Retailing,AMZN,ERROR HIGH CHECK MANUALLY76507811-3
Antarchile S.A. A ,Finance Companies,ANTARCHILE,96556310-5
Apple Inc. ,Computers/Consumer Electronics,AAPL,ERROR HIGH CHECK MANUALLY99579730-5
Aurus Renta Inmobiliaria Fondo de Inversion ,Mutual & Other Funds,CFIAURUSRI,ERROR HIGH CHECK MANUALLY91196000-1
Australis Seafoods S.A. ,Food Products,AUSTRALIS,76003557-2
Banco de Chile ,Banking,CHILE,76165311-3
Banco de Credito e Inversiones ,Banking,BCI,ERROR HIGH CHECK MANUALLY76102955-K
Banco Santander-Chile ,Banking,BSANTANDER,ERROR HIGH CHECK MANUALLY96556310-5
Banmedica S.A. ,Healthcare Provision,BANMEDICA,96528990-9
Banvida S.A. ,Finance Companies,BANVIDA,96882560-7
Besalco S.A. ,Construction,BESALCO,92434000-2
Bicecorp S.A. ,Finance Companies,BICECORP,85741000-9
Biogen Inc. ,Biotechnology,BIIB,ERROR HIGH CHECK MANUALLY76202136-6
Blanco y Negro S.A. ,Recreational Services,COLOCOLO,99589230-8
Blumar S.A. ,Food Products,BLUMAR,80860400-0
CAP S.A. ,Iron/Steel,CAP,91297000-0
Celfin Rentas Inmobiliarias Fondo de Inversion ,Closed-End Funds,CFICELRI,ERROR HIGH CHECK MANUALLY76661770-0
Cemento Polpaico S.A. ,Building Materials/Products,POLPAICO,91337000-7
Cementos Bio-Bio S.A. ,Building Materials/Products,CEMENTOS,91755000-K
Cencosud S.A. ,Food Retail,CENCOSUD,93834000-5
Chilectra Americas S.A. ,Electric Utilities,CHILECT-AM,ERROR HIGH CHECK MANUALLY94271000-3
Chilectra S.A. ,Electric Utilities,CHILECT-CH,ERROR HIGH CHECK MANUALLY96601710-4
Chilena Consolidada Seguros Generales S.A. ,Life Insurance,CONSOGRAL,ERROR HIGH CHECK MANUALLY96945440-8
Clinica Las Condes S.A. ,Healthcare Provision,LASCONDES,93930000-7
Coca-Cola Embonor S.A. B ,Non-Alcoholic Beverages/Drinks,EMBONOR-B,93281000-K
Colbun S.A. ,Renewable Energy Generation,COLBUN,96505760-9
Compania Agropecuaria Copeval S.A. ,Farming,COPEVAL,81290800-6
Compania Cervecerias Unidas S.A. ,Alcoholic Beverages/Drinks,CCU,90413000-1
Compania Chilena de Fosforos S.A. ,Nondurable Household Products,FOSFOROS,90081000-8
Compania General de Electricidad S.A. ,Electric Utilities,CGE,76411321-7
Compania Industrial el Volcan S.A. ,Building Materials/Products,VOLCAN,90209000-2
Compania Pesquera Camanchaca S.A. ,Fishing,CAMANCHACA,93711000-6
Compania Sud Americana de Vapores S.A. ,Water Transport/Shipping,VAPORES,90160000-7
Cristalerias de Chile S.A. ,Containers/Packaging,CRISTALES,90331000-6
Duncan Fox S.A. ,Food Retail,DUNCANFOX,96761990-6
Echeverria Izquierdo S.A. ,Construction,EISA,76005049-0
Embotelladora Andina S.A. Pfd. A ,Non-Alcoholic Beverages/Drinks,ANDINA-A,91144000-8
Embotelladora Andina S.A. Pfd. B ,Non-Alcoholic Beverages/Drinks,ANDINA-B,91144000-8
Empresa Constructora Moller y Perez-Cotapos S.A. ,Construction,MOLLER,92770000-k
Empresa Electrica de Magallanes S.A. ,Electric Utilities,EDELMAG,88221200-9
Empresa Electrica Pehuenche S.A. ,Renewable Energy Generation,PEHUENCHE,96504980-0
Empresa Nacional de Electricidad S.A. ,Renewable Energy Generation,ENDESA-CH,92580000-7
Empresa Nacional de Telecomunicaciones S.A. ,Wired Telecommunications Services,ENTEL,92580000-7
Empresas Aquachile S.A. ,Fishing,AQUACHILE,86247400-7
Empresas CMPC S.A. ,Paper/Pulp,CMPC,90222000-3
Empresas Copec S.A. ,Specialty Retail,COPEC,90690000-9
Empresas Hites S.A. ,Mixed Retailing,HITES,96947020-9
Empresas IANSA S.A. ,Food Products,IANSA,91550000-5
Empresas La Polar S.A. ,Mixed Retailing,NUEVAPOLAR,96874030-K
Empresas Tattersall S.A. ,Finance Companies,TATTERSALL,96947020-9
Enaex S.A. ,Specialty Chemicals,ENAEX,90266000-3
Endesa Americas S.A. ,Electric Utilities,ENDESA-AM,94271000-3
Enersis Americas S.A. ,Electric Utilities,ENERSIS-AM,ERROR HIGH CHECK MANUALLY94271000-3
Enersis Chile S.A. ,Electric Utilities,ENERSIS-CH,76536353-5
Engie Energia Chile S.A. ,Electric Utilities,ECL,88006900-4
Enjoy S.A. ,Gambling Industries,ENJOY,96970380-7
Envases del Pacifico S.A. ,Containers/Packaging,EDELPA,89996200-1
Essbio S.A. Series C ,Water Utilities,ESSBIO-C,ERROR HIGH CHECK MANUALLY76833300-9
ESVAL S.A. ,Water Utilities,ESVAL-C,76000739-0
Facebook Inc. Cl A ,Internet/Online,FB,ERROR HIGH CHECK MANUALLY76930984-5
Fondo de Inversion Banchile Plusvalia Eficiente ,Mutual & Other Funds,CFIBACHPLU,ERROR HIGH CHECK MANUALLY96767630-6
Fondo de Inversion Chile Blend ,Closed-End Funds,CFIBCHBLEN,ERROR HIGH CHECK MANUALLY96767630-6
Fondo de Inversion Santander Small Cap ,Closed-End Funds,CFISANTSC,ERROR HIGH CHECK MANUALLY76002293-4
Forestal Constructora y Comercial del Pacifico Sur S.A. ,Forestry & Wood Products,PASUR,91553000-1
Forus S.A. ,Footwear,FORUS,86963200-7
Gas Natural Chile S.A. ,Gas Utilities,GNCHILE,96966250-7
Gasco S.A. ,Gas Utilities,GASCO,ERROR HIGH CHECK MANUALLY76507811-3
Grupo Empresas Navieras S.A. ,Water Transport/Shipping,NAVIERA,95134000-6
Grupo Security S.A. ,Diversified Holding Companies,SECURITY,96604380-6
Home Depot Inc. ,Home Goods Retail,HD,ERROR HIGH CHECK MANUALLY92317000-6
Hortifrut S.A. ,Farming,HF,96896990-0
Ingevec S.A. ,Construction,INGEVEC,76016541-7
Inmobiliaria Sixterra S.A. ,Mutual & Other Funds,SIXTERRA,76306696-7
Inmobiliaria Sport Francais S.A. ,Real Estate Developers,SPORTFRAN,ERROR HIGH CHECK MANUALLY76306696-7
Instituto de Diagnostico S.A. ,Healthcare Provision,INDISA,92051000-0
Invercap S.A. ,Iron/Steel,INVERCAP,96708470-0
Invermar S.A. ,Fishing,INVERMAR,79797990-2
Inversiones Aguas Metropolitanas S.A. ,Water Utilities,IAM,77274820-5
Inversiones la Construccion S.A. ,Investment Advisors,ILC,94139000-5
Inversiones Union Espanola S.A. ,Finance Companies,INVIESPA,96513200-7
Invexans S.A. ,Networking,INVEXANS,91021000-9
Itau CorpBanca ,Banking,ITAUCORP,ERROR HIGH CHECK MANUALLY76488180-K
JPMorgan Chase & Co. ,Major International Banks,JPM,ERROR HIGH CHECK MANUALLY96767630-6
LATAM Airlines Group S.A. ,Passenger Airlines,LAN,89862200-2
Masisa S.A. ,Building Materials/Products,MASISA,96802690-9
MBI Arbitrage Fondo de Inversion ,Mutual & Other Funds,CFIMBIAR-A,99543100-9
Melon S.A. ,Building Materials/Products,MELON,76109779-2
Minera Valparaiso S.A. ,Finance Companies,MINERA,90412000-6
Molibdenos y Metales S.A. ,Non-Ferrous Metals,MOLYMET,93628000-5
Moneda Deuda Latinoamericana Fondo de Inversion ,Closed-End Funds,CFIIMDLAT,ERROR HIGH CHECK MANUALLY90160000-7
Moneda Renta CLP Fondo de Inversion ,Closed-End Funds,CFIMRCLP,ERROR HIGH CHECK MANUALLY76122579-0
Moneda Renta Variable Chile Fondo do Inversion ,Closed-End Funds,CFIMRVCHA,ERROR HIGH CHECK MANUALLY94660000-8
Multiexport Foods S.A. ,Fishing,MULTIFOODS,76672100-1
Nike Inc. Cl B ,Footwear,NKE,ERROR HIGH CHECK MANUALLY88006900-4
Nitratos de Chile S.A. ,Finance Companies,NITRATOS,76184068-1
Norte Grande S.A. ,Finance Companies,NORTEGRAN,96529340-K
Oxiquim S.A. ,Specialty Chemicals,OXIQUIM,80326500-3
Pacifico V Region S.A. ,Non-Ferrous Metals,PACIFICO,ERROR HIGH CHECK MANUALLY96964310-3
Parque Arauco S.A. ,Real Estate Developers,PARAUCO,94627000-8
Paz Corp. S.A. ,Real Estate Developers,PAZ,76488180-K
Puerto Ventanas S.A. ,Water Transport/Shipping,VENTANAS,96602640-5
Quinenco S.A. ,Diversified Holding Companies,QUINENCO,91705000-7
Ripley Corp. S.A. ,Mixed Retailing,RIPLEY,99579730-5
S.A.C.I. Falabella ,Mixed Retailing,FALABELLA,90749000-9
Salfacorp S.A. ,Construction,SALFACORP,96885880-7
Schwager-Energy S.A. ,Environment/Waste Management,SCHWAGER,96766600-9
Sigdo Koppers S.A. ,Diversified Holding Companies,SK,99598300-1
Siglo XXI Fondo de Inversion ,Closed-End Funds,CFIMSIGLO,ERROR HIGH CHECK MANUALLY99598300-1
Sociedad de Inversiones Campos Chilenos S.A. ,Finance Companies,CAMPOS,96538080-9
Sociedad de Inversiones Oro Blanco S.A. ,Finance Companies,OROBLANCO,96532830-0
Sociedad de Inversiones Pampa Calichera S.A. A ,Finance Companies,CALICHERAA,96511530-7
Sociedad Matriz del Banco de Chile S.A. Series A ,Banking,SM-CHILEA,ERROR HIGH CHECK MANUALLY93007000-9
Sociedad Matriz del Banco de Chile S.A. Series B ,Banking,SM-CHILEB,ERROR HIGH CHECK MANUALLY93007000-9
Sociedad Matriz del Banco de Chile S.A. Series D ,Banking,SM-CHILED,ERROR HIGH CHECK MANUALLY76073162-5
Sociedad Matriz del Banco de Chile S.A. Series E ,Banking,SM-CHILEE,ERROR HIGH CHECK MANUALLY93007000-9
Sociedad Matriz SAAM S.A. ,Water Transport/Shipping,SMSAAM,76196718-5
Sociedad Punta del Cobre S.A. A ,Non-Ferrous Metals,PUCOBRE-A,96561560-1
Sociedad Quimica y Minera de Chile S.A. A ,Specialty Chemicals,SQM-A,93007000-9
Sociedad Quimica y Minera de Chile S.A. Series B ,Specialty Chemicals,SQM-B,93007000-9
Socovesa S.A. ,Residential Building Construction,SOCOVESA,94840000-6
Sonda S.A. ,Computer Services,SONDA,83628100-4
Soprocal Calerias E Industrias S.A. ,Specialty Chemicals,SOPROCAL,92108000-K
Soquimich Comercial S.A. ,Specialty Chemicals,SOQUICOM,79768170-9
Starbucks Corp. ,Restaurants,SBUX,ERROR HIGH CHECK MANUALLY85741000-9
Tech Pack S.A. ,Containers/Packaging,TECHPACK,ERROR HIGH CHECK MANUALLY96576660-k
Telefonica Chile S.A. Series A ,Wired Telecommunications Services,CTC-A,90635000-9
Verizon Communications Inc. ,Wireless Telecommunications Services,VZ,ERROR HIGH CHECK MANUALLY92580000-7
Vina Concha y Toro S.A. ,Alcoholic Beverages/Drinks,CONCHATORO,90227000-0
Vina San Pedro Tarapaca S.A. ,Alcoholic Beverages/Drinks,VSPT,91041000-8
VISA Inc. Cl A ,Consumer Finance,V,ERROR HIGH CHECK MANUALLY96814430-8
Walmart Chile S.A. ,Food Retail,WMTCL,ERROR HIGH CHECK MANUALLY96556310-5
Walt Disney Co. ,Broadcasting,DIS,ERROR HIGH CHECK MANUALLY76551925-K
Watt's S.A. ,Food Products,WATTS,84356800-9
Zona Franca de Iquique S.A. ,Specialty Retail,ZOFRI,70285500-4
