aapl	320193
amzn	1018724
msft	789019
goog	1652044
fb	1326801
baba	1577552
brk-a	1067983
v	1403161
tsla	1318605
jnj	200406
tsm	1046179
wmt	104169
ma	1141391
pg	80424
spy	884394
nvda	1045810
hd	354950
jpm	19617
unh	731766
adbe	796343
vz	732712
crm	1108524
dis	1744489
pypl	1633917
un	110390
bac	70858
mrk	310158
nflx	1065280
t	732717
pfe	78003
intc	50863
ko	21344
cmcsa	1166691
orcl	1341439
nvs	1114448
sap	1000184
pep	77476
tm	1094517
abt	1800
csco	858877
orcl	1341439
nke	320187
xom	34088
tmo	97745
abbv	1551152
asml	937966
mcd	63908
ul	217410
cvx	93410
chl	1117795
nvo	353278
acn	1467373
cost	909832
azn	901832
lfc	1268896
dhr	313616
amgn	318154
tmus	1283699
lly	59478
bmy	14272
mdt	1613103
bhp	811809
ups	1090727
nee	753308
avgo	1730168
lin	1707925
unp	100885
txn	97476
qcom	804328
shop	1594805
sny	1121404
low	60667
jd	1549802
chtr	1091667
pm	1413329
bud	1668717
rtntf	887028
hon	773840
bbl	1171264
qqq	1067839
rds-a	1306965
ptr	1108329
ibm	51143
lmt	936468
ry	1000275
amt	1053507
pdd	1737806
c	831001
tot	879764
amd	2488
gsk	1131399
wfc	72971
sne	313838
czr	1590895
ba	12927
sbux	829224
mmm	66740
now	1373715
rtx	101829
fis	1136893
td	947263
blk	1364742
intu	896878
hsbc	1089113
spgi	64040
mdlz	1103982
cvs	64803
zm	1585521
gild	882095
hdb	1144967
isrg	1035267
ms	895421
mo	764180
axp	4962
deo	835403
el	1001250
se	1703399
rio	863064
cat	18230
bkng	1075531
tgt	27419
bti	1303523
kof	910631
zts	1555280
cni	16868
pld	1045609
bdx	10795
bp	313807
cta-pa	30554
ntes	1110646
gs	886982
syk	310764
vrtx	875320
eqix	1101239
sq	1512673
antm	1156039
snp	1123658
cci	1051470
cl	21665
de	315189
d	715957
fisv	798354
atvi	718877
regn	872589
enb	895728
apd	2969
ci	1739940
tjx	109198
