Ticker,RUT,Name
AESANDES,94272000-9,AESANDES AES Andes S.A. (ex AES Gener
AFPCAPITAL,98000000-1,AFPCAPITAL Administradora de Fondos de Pensiones Capital
AGUAS-A,61808000-5,BAguas Andinas
AGUAS-B,61808000-5,BAguas Andinas
ALMENDRAL,94270000-8,ALMENDRAL Almendral
ANASAC,91253000-0,ANASAC Agricola Nacional S.A.C. e
ANDACOR,91400000-9,ANDACOR Andacor
ANDINA-A,91144000-8,BEmbotelladora Andina
ANDINA-B,91144000-8,BEmbotelladora Andina
ANTARCHILE,96556310-5,ANTARCHILE AntarChile
AQUACHILE,86247400-7,AQUACHILE Empresas Aquachile
ATSA,91126000-K,ATSA Automovilismo y Turismo
AXXION,90818000-3,AXXION Axxion
AZUL,76838140-2,AZUL AZUL Azul Azul
BANVIDA,96882560-7,BANVIDA Banvida
BCI,97006000-6,BCI Banco de Credito
BESALCO,92434000-2,BESALCO Besalco
BETLAN,76248064-6,BETLAN DOS Betlan Dos
BICECORP,85741000-9,BICECORP Bicecorp
BINT,97011000-3,BINT Banco
BLUMAR,80860400-0,BLUMAR Blumar
BOLSASTGO,90249000-0,"BOLSASTGO Bolsa de Comercio de Santiago, Bolsa de"
BSANTANDER,97036000-K,BSANTANDER Banco Santander-Chile
CALICHERAA,96511530-7,CALICHERAA CALICHERABA BSociedad de Inversiones Pampa Calichera
CAMANCHACA,93711000-6,CAMANCHACA Compania Pesquera Camanchaca
CAMPOS,96538080-9,CAMPOS Sociedad de Inversiones Campos Chilenos
CANALISTAS,96506770-1,CANALISTAS Sociedad de Canalistas La Foresta de Apoquindo
CAP,91297000-0,CAP Cap
CAROZZI,76143636-8,CAROZZI Carozzi
CASABLANCA,96766110-4,CASABLANCA Energia de Casablanca
CCU,90413000-1,CCU Compania Cervecerias Unidas
CEM,76388223-3,CEM Cem
CEMENTOS,91755000-K,CEMENTOS Cementos Bio Bio
CENCOSHOPP,76433310-1,CENCOSHOPP Cencosud Shopping
CENCOSUD,93834000-5,CENCOSUD Cencosud
CGE,76411321-7,CGE Compania General de Electricidad
CGEGAS,76609803-7,CGEGAS CGE Gas Natural
CHILE,97004000-5,CHILE Banco de
CIC,93830000-3,CIC Companias CIC
CINTAC,92544000-0,CINTAC Cintac
